time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445550000	3.72969e+09	6.93207e+09	-1.1317e-09	3.65043e-09	2.1197e-09	radar	3.12436	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	7.45938e+09	1.38641e+10	-1.40212e-09	7.1941e-09	4.62304e-09	lidar	1	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	8.87181e+09	1.64893e+10	-2.89473e-09	8.69605e-09	3.61217e-09	radar	3.08199	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	1.77436e+10	3.29786e+10	-2.57747e-09	1.69335e-08	1.07085e-08	lidar	1	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	2.10877e+10	3.9194e+10	-2.33297e-09	2.05218e-08	9.47276e-09	radar	3.09086	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	4.21754e+10	7.8388e+10	-2.20296e-09	4.1695e-08	1.63873e-08	lidar	1	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	4.87789e+10	9.06613e+10	1.57915e-09	4.83755e-08	-4.19149e-09	radar	3.09436	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	9.75578e+10	1.81323e+11	7.8557e-09	9.68523e-08	-3.06862e-09	lidar	1	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	1.13529e+11	2.11008e+11	1.33414e-09	1.12374e-07	1.36163e-08	radar	3.04944	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	2.27059e+11	4.22015e+11	-7.20881e-09	2.26515e-07	4.75708e-08
