time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451600000	8.40508	20.625	4.8575	3.43559	0.470054	lidar	19.9508	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17538	20.5447	4.87223	3.4655	0.48287	radar	0.111206	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92734	20.4663	4.90847	3.48598	0.477717	lidar	0.688203	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71048	20.3799	4.9317	3.52071	0.505254	radar	3.45256	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.37617	20.3271	5.13221	3.50963	0.457936	lidar	12.8387	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13658	20.2335	5.11859	3.529	0.448739	radar	0.227837	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.869	20.1499	5.17667	3.53914	0.433103	lidar	1.27282	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.63846	20.0605	5.13954	3.55395	0.419786	radar	0.543358	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.39537	19.9671	5.15282	3.5687	0.412303	lidar	0.825211	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.17621	19.8744	5.12355	3.5871	0.41196	radar	2.97815	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.9132	19.7798	5.18043	3.59392	0.394662	lidar	1.68147	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.67158	19.6357	5.2716	3.63156	0.432004	radar	1.75854	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.5221	19.5064	5.11623	3.67312	0.459035	lidar	11.3402	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32056	19.3574	5.10342	3.70792	0.47641	radar	1.84385	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11625	19.2537	5.066	3.72177	0.465739	lidar	14.8524	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93551	19.1413	4.9365	3.73568	0.443483	radar	4.69279	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78845	18.9895	4.8427	3.77712	0.469283	lidar	3.25935	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57554	18.8391	4.92809	3.80162	0.478557	radar	1.55909	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40495	18.7072	4.87393	3.825	0.479548	lidar	7.90502	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.23414	18.5639	4.77967	3.84377	0.46366	radar	1.18907	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.12253	18.4104	4.66118	3.88828	0.493519	lidar	8.43567	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
